id,original_text,label,corrected_text,
0207A115-1-037,"Μια φορά κι έναν καιρό ζούσαν μερικά πολάκια 
που ανέβεναν στο δέντρο και κελαδιόσαν 
μέχρι που είρθε μια γάτα και προσπαθούσε
να σκαρφαλοσε στο δέντρο και παραλήγο 
να τα φάει τα μισά και μέχρι που είρθε 
ο σκιλος να τραβίξη την γάτα.",1,"Μια φορά κι έναν καιρό ζούσαν μερικά πουλάκια 
που ανέβαιναν στο δέντρο και κελαηδούσαν 
μέχρι που ήρθε μια γάτα και προσπαθούσε
να σκαρφαλώσει στο δέντρο και παραλίγο 
να τα φάει τα μισά και μέχρι που ήρθε 
ο σκύλος να τραβήξει τη γάτα.",
0207A115-1-037,"Εφτηχός που
δεν έφαγε τα πουλάκια.",1,"Ευτυχώς που
δεν έφαγε τα πουλάκια.",
0207A115-1-037,"Μετά είρθε η μαμα 
τον πολιόν και τρόμαξε από το σκίλο και
η γάτα το έβαλε στα πόδια και ο σκίλος
έτρεξε να πιάσι τιν γάτα και ζήσαν εκείνι 
καλά και εμίς καλίτερα. ",1,"Μετά ήρθε η μαμά 
των πουλιών και τρόμαξε από το σκύλο και
η γάτα το έβαλε στα πόδια και ο σκύλος
έτρεξε να πιάσει τη γάτα και ζήσαν εκείνοι 
καλά και εμείς καλύτερα. ",
0207A115-1-038,"Μια φορά κι έναν καιρό ηταν κατη πουλιά
και ερχοτανε μια γατα κάθισε η γατα 
σκαφαρασε η γάτα και ο σκυλος την
δακοσε την ουρα και εφυγε η γατο ",1,"Μια φορά κι έναν καιρό ήταν κάτι πουλιά
και ερχόταν μια γάτα κάθισε η γάτα 
σκαρφάλωσε η γάτα και ο σκύλος της
δάγκωσε την ουρά και έφυγε η γάτα ",
0207A115-2-040,"Μια φορά κι έναν καιρό σε ένα δέντρο
ζούσε κάποτε. ",0,,
0207A115-2-040,"Μία μητέρα που 
είχε δυο πουλάκια, μια μέρα έφηγε
και δεν είδε την γάτα.",1,"Μία μητέρα που 
είχε δυο πουλάκια, μια μέρα έφυγε
και δεν είδε τη γάτα.",
0207A115-2-040,"Όταν έφτασε
η γάτα σκαρφάλοσε στο δέντρο.",1,"Όταν έφτασε
η γάτα σκαρφάλωσε στο δέντρο.",
0207A115-2-040,"Τοτε όμως πέρασε ο σκύλος, την
δάγκοσε την ουρά της γάτας.",1,"Τότε όμως πέρασε ο σκύλος, της
δάγκωσε την ουρά της γάτας.",
0207A115-2-040,"Και την κατέβασε μετα όλο και
όλο την κηνηγούσε.",1,"Και την κατέβασε μετά όλο και
όλο την κυνηγούσε.",
0207A115-2-041,"Μια φορά κι έναν καιρό είταν μια οικογένια 
πουλιών.",1,"Μια φορά κι έναν καιρό ήταν μια οικογένεια 
πουλιών.",
0207A115-2-041,"Την άλλη μέρα ήρθε μια γάτα
που πίγα να τις φάει.",1,"Την άλλη μέρα ήρθε μια γάτα
που πήγε να τη φάει.",
0207A115-2-041,"Ομος η μαμά 
έφιγε απο την φωλια.",1,"Όμως η μαμά 
έφυγε από τη φωλιά.",
0207A115-2-041,"Η γάτα πίγε να 
τα φάει τα μικρά.",1,"Η γάτα πήγε να 
τα φάει τα μικρά.",
0207A115-2-041,"Εφτειχός που βρέθεικε
ένας σκήλος.",1,"Ευτυχώς που βρέθηκε
ένας σκύλος.",
0207A115-2-041,"Ο σκήλος την δάκοσε την
ουρά και έφηγε η γάτα και ήρθε η 
μαμά με φαγειτό.",1,"Ο σκύλος τη δάγκωσε στην
ουρά και έφυγε η γάτα και ήρθε η 
μαμά με φαγητό.",
0207A115-2-041,"Η μαμά χάρικε παάραπολει
εφχαρίστησαν το σκύλο.",1,"Η μαμά χάρηκε πάρα πολύ
ευχαρίστησαν το σκύλο.",
0207A115-2-041,"Αυτοί ζήσανε καλά 
και μεις καλείτερα.",1,"Αυτοί ζήσανε καλά 
και μεις καλύτερα.",
0207A115-2-042,"Μια φορά κι έναν καιρό ήταν τρεια πουλιά και
έτσι όπος έφεβγε η μαμά πλησίασε μια 
γάτα μετά τους κοιτούσε περίεργα.",1,"Μια φορά κι έναν καιρό ήταν τρία πουλιά και
έτσι όπως έφευγε η μαμά πλησίασε μια 
γάτα μετά τους κοιτούσε περίεργα.",
0207A115-2-042,"Και 
ανέβικε επάνω μετά ήρθε ένας σκύλος και
της δάγκοσε την ουρά μετά ο σκύλος κυνηγούσε
την γάτα.",1,"Και 
ανέβηκε επάνω μετά ήρθε ένας σκύλος και
της δάγκωσε την ουρά μετά ο σκύλος κυνηγούσε
τη γάτα.",
0207A115-2-044,"
Μια φορά κι έναν καιρό είταν μια ΜαΜΑ πουλί
και κάτι μόρα πουλιά και η ΜαΜα πουλί
έφιγε μετά ερχόταν μια γάτα εκήνη η 
γάτα κιτούσε τα πουληά
Μετά η γάτα σκαρφάλωσε στο δέντρο
γιατί ερχόταν ένα σκίλη μετά εκίνο το
σκιλί δάγγοσε την ουρά της γάτας
μετά η γάτα έφιγε και ο σκίλος
έφιγε μετά η μαμά πουλή γιρισε.",1,"
Μια φορά κι έναν καιρό ήταν μια ΜαΜΑ πουλί
και κάτι μωρά πουλιά και η ΜαΜά πουλί
έφυγε μετά ερχόταν μια γάτα εκείνη η 
γάτα κοιτούσε τα πουλιά
Μετά η γάτα σκαρφάλωσε στο δέντρο
γιατί ερχόταν ένα σκυλί μετά εκείνο το
σκυλί δάγκωσε την ουρά της γάτας
μετά η γάτα έφυγε και ο σκύλος
έφυγε μετά η μαμά πουλί γύρισε.",
0207A115-2-045,"Μια φορά κι έναν καιρό ήταν ένα μεγάλο
πουλί και είχαι δυο μικρά πουλιά.",1,"Μια φορά κι έναν καιρό ήταν ένα μεγάλο
πουλί και είχε δυο μικρά πουλιά.",
0207A115-2-045,"Μια μέρα
το πουλί πήγε να βρει φαγητό, αργότερα
ήρθε μια γάτα.",0,,
0207A115-2-045,"Η γάτα είθελε να φάει τα 
πουλάκια.",1,"Η γάτα ήθελε να φάει τα 
πουλάκια.",
